,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_1,alpha_1_0,alpha_0_2,alpha_2_0,alpha_1_2,alpha_2_1,direct_comparison_value,most_preferred_pair
467,"[(-1, 0, 0, 1), (0, -1, -1, -1)]",0,1,6,0.6,0_1,0.6,0.19999999999999996,-0.6,-0.4,-0.19999999999999996,0.4,0.0,"(0, 1)"
468,"[(-1, 0, 0, 1), (0, -1, -1, 0)]",0,1,7,0.7,0_1,0.39999999999999997,0.7,-0.39999999999999997,0.3,-0.7,-0.3,0.3,"(0, 1)"
469,"[(-1, 0, 0, 1), (0, -1, -1, 1)]",0,1,10,0.625,0_1,0.4375,0.4375,-0.4375,0.0,-0.4375,0.0,0.1875,"(0, 1)"
470,"[(-1, 0, 0, 1), (0, -1, 0, -1)]",0,1,11,1.0,0_1,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,"(0, 1)"
471,"[(-1, 0, 0, 1), (0, -1, 0, 1)]",0,1,8,0.571428571428571,0_1,0.571428571428571,0.14285714285714196,-0.571428571428571,-0.428571428571429,-0.14285714285714196,0.428571428571429,0.0,"(0, 1)"
472,"[(-1, 0, 0, 1), (0, -1, 1, -1)]",0,1,8,0.8,0_1,0.8,0.6000000000000001,-0.8,-0.2,-0.6000000000000001,0.2,0.0,"(0, 1)"
473,"[(-1, 0, 0, 1), (0, -1, 1, 0)]",0,1,10,0.833333333333333,0_1,0.833333333333333,0.6666666666666661,-0.833333333333333,-0.166666666666667,-0.6666666666666661,0.166666666666667,0.0,"(0, 1)"
474,"[(-1, 0, 0, 1), (0, -1, 1, 1)]",0,1,9,0.642857142857143,0_1,0.5714285714285716,0.35714285714285704,-0.5714285714285716,-0.21428571428571458,-0.35714285714285704,0.21428571428571458,0.0714285714285714,"(0, 1)"
475,"[(-1, 0, 0, 1), (0, 0, -1, -1)]",0,1,10,1.0,0_1,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,"(0, 1)"
476,"[(-1, 0, 0, 1), (0, 0, -1, 1)]",0,1,9,0.818181818181818,0_1,0.7272727272727271,0.7272727272727271,-0.7272727272727271,0.0,-0.7272727272727271,0.0,0.0909090909090909,"(0, 1)"
477,"[(-1, 0, 0, 1), (0, 0, 1, -1)]",0,1,11,0.846153846153846,0_1,0.7692307692307692,0.7692307692307692,-0.7692307692307692,0.0,-0.7692307692307692,0.0,0.0769230769230769,"(0, 1)"
478,"[(-1, 0, 0, 1), (0, 0, 1, 1)]",0,1,10,0.588235294117647,0_1,0.352941176470588,0.411764705882353,-0.352941176470588,0.058823529411764996,-0.411764705882353,-0.058823529411764996,0.235294117647059,"(0, 1)"
479,"[(-1, 0, 0, 1), (0, 1, -1, -1)]",0,1,9,0.818181818181818,0_1,0.7272727272727271,0.7272727272727271,-0.7272727272727271,0.0,-0.7272727272727271,0.0,0.0909090909090909,"(0, 1)"
480,"[(-1, 0, 0, 1), (0, 1, -1, 0)]",0,1,7,0.636363636363636,0_1,0.636363636363636,0.27272727272727204,-0.636363636363636,-0.363636363636364,-0.27272727272727204,0.363636363636364,0.0,"(0, 1)"
481,"[(-1, 0, 0, 1), (0, 1, -1, 1)]",0,1,11,0.785714285714286,0_1,0.7142857142857146,0.642857142857143,-0.7142857142857146,-0.07142857142857159,-0.642857142857143,0.07142857142857159,0.0714285714285714,"(0, 1)"
482,"[(-1, 0, 0, 1), (0, 1, 0, -1)]",0,1,10,1.0,0_1,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,"(0, 1)"
